Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite,Status_vs_527,T6_Filename,T6_Record,T6_Materials,T6_IDConfidence,NeedsSignoff,MappingNotes
33,906,group.1um/fe3+_hematite.fine.gr.ws161,Hematite WS161 W1R1Hb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_WS161_BECKb_AREF.html,1,sprlb06,,,,,,0.79,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.fine.gr.ws161,906,hematite,9,YES,diagnostic feature definition changed
34,3558,group.1um/fe3+_smectite_nontronite,Nontronite NG-1.a W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Nontronite_NG-1.a_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe3+_smectite_nontronite,3558,nontronite,9,no,
35,5328,group.1um/fe2+generic_brd.br5a_actinolite,Actinolite-Hornfels BR93-5a W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite-Hornfels_BR93-5a_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_brd.br5a_actinolite,5328,fe2+generic_actinolite,1,no,
36,846,group.1um/fe2+fe3+mix_with_hematite_br5b,Magnetite_skarn BR93-5B W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Magnetite_skarn_BR93-5B_BECKb_AREF.html,1,sprlb06,,,,,,0.17,,,,,,,,,,,,,,identical,group.1um/fe2+fe3+mix_with_hematite_br5b,846,fe2+fe3+mix,1,no,
37,5334,group.1um/fe2+generic_brd.br22c_actinolite,Actinolite-Tremolit BR93-22C W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite-Tremolit_BR93-22C_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_brd.br22c_actinolite,5334,fe2+generic_actinolite,1,no,
38,1656,group.1um/fe2+generic_br33a_bioqtzmonz_epidote,Epidote BR93-33a W1R1Bb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Epidote_BR93-33a_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_br33a_bioqtzmonz_epidote,1656,epidote,9,no,
39,5490,group.1um/fe2+generic_brd.br36a_chlorite,Biotite-Chlorite_Mx BR93-36A W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Biotite-Chlorite_Mx_BR93-36A_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_brd.br36a_chlorite,5490,fe2+generic_chlorite,9,no,
40,5460,group.1um/fe2+fe3+_hematite_weathering,Basalt_weathered BR93-43 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Basalt_weathered_BR93-43_BECKb_AREF.html,1,splib06,,,,,,0.01,,,,,,,,,,,,,,identical,group.1um/fe2+fe3+_hematite_weathering,5460,fe2+fe3+_hematite_weath,7,no,
41,5454,group.1um/fe2+generic_basalt_br46b,Basalt_fresh BR93-46B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Basalt_fresh_BR93-46B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_basalt_br46b,5454,fe2+generic_basalt,7,no,
42,840,group.1um/fe3+_hematite.lg.gr.br25a,Hematite_Coatd_Qtzt BR93-25A W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtzt_BR93-25A_BECKa_AREF.html,1,sprlb06,,,,,,0.01,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.lg.gr.br25a,840,hematite,9,YES,diagnostic feature definition changed
